BiolRepl;Community;drug_conc;Sample;experiment_number;plate_number;tech_repl;control;well;AUC;maxOD;finalOD
B2;C5;30;Sarela_B2_C5_30;Exp21;Plate3;TechRepl1;FALSE;D10;1.10136327185245;1.03056027164686;1.03056027164686
B2;C5;30;Sarela_B2_C5_30;Exp21;Plate4;TechRepl2;FALSE;D10;1.03713330857779;0.991803278688525;0.991803278688525
B3;C5;30;Sarela_B3_C5_30;Exp22;Plate3;TechRepl1;FALSE;H9;1.0227121313064;1.43928035982009;1.43928035982009
B3;C5;30;Sarela_B3_C5_30;Exp22;Plate4;TechRepl2;FALSE;H9;1.07369297567359;1.42020497803807;1.42020497803807
B1;C5;40;Sarela_B1_C5_40;Exp20;Plate1;TechRepl1;FALSE;E12;0.0897630519437661;0.167539267015707;0.167539267015707
B1;C5;40;Sarela_B1_C5_40;Exp20;Plate2;TechRepl2;FALSE;E12;0.184550743374273;0.330479452054795;0.330479452054795
B2;C5;40;Sarela_B2_C5_40;Exp21;Plate3;TechRepl1;FALSE;D12;0.595549318364074;0.84125636672326;0.84125636672326
B2;C5;40;Sarela_B2_C5_40;Exp21;Plate4;TechRepl2;FALSE;D12;0.501373932417378;0.773770491803279;0.773770491803279
B3;C5;40;Sarela_B3_C5_40;Exp22;Plate3;TechRepl1;FALSE;H11;0.39597843861668;0.986506746626687;0.986506746626687
B3;C5;40;Sarela_B3_C5_40;Exp22;Plate4;TechRepl2;FALSE;H11;0.370606078629632;0.87701317715959;0.87701317715959
